username,location,Anime-Watching,Anime-Completed,Anime-Total,Anime-Mean-Score,Manga-Reading,Manga-Completed,Manga-Total,Manga-Mean-Score
JESPERTAE,"Copenhagen, Denmark",12,488,652,8.28,5,13,19,10.0
Xaiovenna,,20,358,617,0.0,16,17,35,0.0
HeetroNoft,,3,39,74,9.32,0,0,0,0.0
KokoaTsundere,,0,2,3,7.67,0,0,0,0.0
Catfishdz12,,10,127,262,7.92,1,0,3,8.0
ismas19,,2,76,79,7.65,0,0,0,0.0
pennerswag_,,27,109,229,6.93,1,0,2,0.0
iltramoggione,,21,184,330,0.0,78,18,98,0.0
savageSASUKE,,2,43,67,8.58,0,0,0,0.0
IceBear310,Romania,15,64,197,7.57,6,8,39,8.17
HangmanGleb,,30,159,445,7.93,30,31,81,9.67
Chemix,Slovakia,12,278,357,6.74,13,26,51,8.03
MarvinVincit,,10,434,474,7.09,0,0,0,0.0
TashaGodspell94,,20,841,1117,7.41,37,7,76,8.13
JanaDeCinderella,,45,496,708,7.2,3,6,10,9.0
SuitonSekai,Seven Hells,11,367,515,5.5,6,10,47,6.43
FlakyS,,9,30,44,0.0,0,0,0,0.0
IWatchIPlay,Romania,8,96,145,9.1,4,1,6,9.5
BuckySnow,,2,7,9,9.0,0,0,0,0.0
simplonicola,,5,72,85,8.92,2,2,6,10.0
PumpkinDuke,,6,78,107,7.76,1,0,1,0.0
Takkkun,Brazil,10,245,317,9.12,23,9,35,9.7
YeetYagami,Firelink,31,275,567,8.98,12,1,58,10.0
MiloViper,,4,158,443,6.32,4,1,14,8.75
Miwamy,Brasil,11,205,525,6.68,18,7,136,7.82
Post1337,,10,155,236,8.89,0,0,0,0.0
kestasx15,,22,436,514,8.37,10,37,49,8.55
Gattolardo,,1,92,155,6.63,1,6,19,7.0
Gusog,,5,2,9,0.0,0,0,0,0.0
nuriu,,12,156,227,7.82,3,1,16,8.33
Kumikou,"Tbilisi, Georgia",2,58,121,9.34,2,0,5,10.0
CrusaderLawliet,,1,1246,1563,6.9,7,13,49,5.77
YamiScarlet29,,5,179,237,9.31,0,0,0,0.0
Rustless,,2,283,289,7.12,0,0,0,0.0
akeos_akeos,,4,79,92,8.0,2,3,5,9.0
ItsJustAName,,11,95,147,0.0,7,4,11,0.0
SVito,,7,61,158,8.21,0,0,0,0.0
Nyterfly,,2,12,16,0.0,1,0,1,0.0
Lorea0212,,6,26,49,8.21,0,0,1,0.0
Bacovsky,,1,24,94,8.96,3,0,5,10.0
Shirogia,"Paraná, Brasil ",18,295,444,7.39,13,17,52,7.26
Audrin_Seiger,,2,56,77,8.16,0,0,0,0.0
dierubikdie,North Carolina,1,529,1012,6.99,0,9,33,7.93
Razorshy,"New Delhi, India",40,85,798,6.82,15,31,279,7.0
CharizardX,"Province of Quebec, Canada.",6,144,333,8.0,4,6,13,8.33
Battousin,,29,195,292,0.0,0,0,0,0.0
ThriftyShark,Bermuda,4,385,459,8.12,4,3,7,8.14
karasukod,"Punta Arenas , Chile",1,1,2,8.5,1,0,1,6.0
Mininair,,10,37,71,9.36,0,0,0,0.0
KG7,,6,53,78,7.7,0,0,0,0.0
Greenpanda38,,3,25,33,8.56,1,0,1,0.0
Zephyrros,,2,129,244,7.24,6,0,10,9.0
Melio_67,,10,150,176,10.0,2,0,2,0.0
Friggy-chan,,1,58,148,8.19,3,3,8,9.0
Vizioz,France842,35,2775,4002,4.95,379,902,2013,5.48
Rootaku,"Romania,Bucuresti",31,1580,1959,7.27,34,22,76,8.43
Zerin3173,,1,8,11,0.0,1,0,2,0.0
DsydeYourFate,Starship Enterprise,10,81,246,7.89,2,0,8,0.0
Scarlett1305,,7,230,297,7.38,19,6,26,8.76
Crash285,,1,70,271,8.97,1,2,9,9.5
Chimikima,,37,309,572,7.75,34,37,83,7.69
Mika_sensei,"Porto , Portugal",14,551,884,6.73,52,113,370,6.67
tomibear,,31,301,514,7.63,2,1,3,0.0
5te1n,,20,563,1073,7.36,26,21,117,8.32
Killunyan,"Spain, Barcelona",11,396,498,6.51,6,14,30,7.28
Land,Gdańsk,82,2246,2459,7.59,908,218,1127,7.7
aryansharm34,,5,20,71,8.5,1,0,1,0.0
Guxy,,7,31,56,0.0,0,2,2,0.0
Lucaslls,,1,16,19,0.0,1,0,4,0.0
Ritinal,,9,142,358,6.45,18,2,43,7.53
Antekvaro,,3,15,39,4.0,1,0,1,0.0
GoldenJumper,,5,41,106,6.83,1,2,4,8.5
hjrisdabest,,19,10,35,7.95,2,1,4,8.5
Flowymcflowy,Tenerife,15,329,410,6.32,11,5,20,7.0
Hick336,,16,195,249,0.0,0,0,0,0.0
Navarogs,"Wittersdorf, France",19,156,471,8.27,10,2,34,0.0
Jess11,,19,307,1982,6.99,9,11,99,8.8
winddevil1,Portugal / A place further than the universe,54,614,1447,6.99,34,16,199,8.67
Nappyuwu,,15,69,199,9.4,10,2,27,9.0
LEO5555,,9,230,376,5.65,11,3,77,0.0
VoltaicCrowd,,1,0,1,0.0,0,0,0,0.0
Tomm01p,,6,308,480,5.83,12,21,87,5.56
Betkrito,,11,640,836,5.57,5,31,311,5.87
Kitsune401,,50,361,563,9.6,6,4,16,0.0
Bassam88922,,11,838,1064,7.44,6,58,97,7.73
Yokoto-san,Midgard,14,574,616,8.58,0,3,3,9.67
PrinzessinPanda,Germany,8,244,353,7.86,0,0,0,0.0
Konakana,,6,418,1288,10.0,11,58,380,0.0
Amitte_Sukku,Poland,14,963,2412,7.16,16,62,775,7.67
Ikare,,6,373,819,7.26,9,170,324,7.01
Gekijou,The everlasting kingdom of Nothingness,8,758,915,7.35,0,0,0,0.0
Amathenry,,30,168,340,6.94,12,6,25,8.83
Nyan_Hooopye,,26,274,377,4.91,1,1,9,7.5
Luiz_AGS,,3,61,77,6.72,0,0,0,0.0
DareBrando,,11,63,142,7.99,15,4,37,9.0
kRuusT,"Brazil, Rio de Janeiro",18,107,370,6.09,1,4,23,0.0
NuiThePui,,4,18,30,8.6,0,0,0,0.0
EroKing_AS,"Mumbai, India",32,2097,2132,10.0,0,0,0,0.0
TayKay,Italy,7,386,548,6.87,5,5,130,6.8
Balgo1,,1,32,35,7.3,0,8,9,8.75
Mrjb7,,7,55,91,5.84,0,0,0,0.0
Beatajac17,,3,69,74,0.0,0,1,1,0.0
Angelic2k8,,5,111,126,7.84,7,4,13,8.18
Itachi73,,6,12,36,7.0,0,0,0,0.0
DrTobias,South Carolina,1,80,106,6.81,0,0,1,0.0
lon-ami,Spain,16,148,967,7.17,3,8,75,7.83
ChoiceSuperG,,10,185,536,7.03,15,1,56,0.0
Yoosh,,5,158,298,7.06,6,1,21,7.8
zarox24,Ore wa Jigoku ni iru. Michigan,4,70,144,6.34,3,15,20,6.81
Camdain99,,4,55,71,7.88,0,1,1,0.0
